route,page_key,access,shell_variant,owner_sprint,module_script,planned_test,platform55_surfaces,status,evidence
app.html,app,authenticated,tenant,P2-S1,src/dashboard.js,tests/platform55-command-center.test.mjs,command;mywork;notify;globalsearch;askai;platform-lifecycle;platform-backbone,implemented,src/platform55-shell.js;src/platform55-command-center.css;tests/platform55-command-center.test.mjs
business-intelligence.html,business-intelligence,authenticated,tenant,P2-S5,src/business-intelligence.js,tests/platform55-intelligence-admin-shell.test.mjs,ai-automation;finops;network-analysis;carrier-intelligence;shipper-intelligence;market-benchmarks;reports;geospatial;predictive-time;optimization;business-pnl;billing;carrierpay,not_started,
catalog-workbench.html,catalog-workbench,authenticated,tenant,P2-S5,src/catalog-workbench.js,tests/platform55-intelligence-admin-shell.test.mjs,catalog;master-data;service-catalog,not_started,
growth-hacking.html,growth-hacking,authenticated,tenant,P2-S5,src/growth-hacking.js,tests/platform55-intelligence-admin-shell.test.mjs,growth;opportunities;product-feedback,not_started,
interpretation-memory.html,interpretation-memory,authenticated,tenant,P2-S5,src/interpretation-memory.js,tests/platform55-intelligence-admin-shell.test.mjs,knowledge-retrieval;learning-rules;rules-engine,not_started,
outreach.html,outreach,authenticated,tenant,P2-S3,src/outreach.js,tests/platform55-procurement-shell.test.mjs,communications;customer-progress,not_started,
provider-communications.html,provider-communications,authenticated,tenant,P2-S4,src/provider-communications-page.js,tests/platform55-network-service-shell.test.mjs,communications;notification-rules,not_started,
provider-gmail.html,provider-gmail,authenticated,tenant,P2-S4,src/provider-gmail-page.js,tests/platform55-network-service-shell.test.mjs,communications;integration-runtime,not_started,
provider-onboarding.html,provider-onboarding,authenticated,tenant,P2-S4,src/provider-onboarding-page.js,tests/platform55-network-service-shell.test.mjs,connection-setup;connector-marketplace;connector-developer,not_started,
provider-service.html,provider-service,authenticated,tenant,P2-S4,src/provider-service-page.js,tests/platform55-network-service-shell.test.mjs,integration-ops;event-subscriptions;service-management;integration-runtime,not_started,
ratebook.html,ratebook,authenticated,tenant,P2-S3,src/ratebook.js,tests/platform55-procurement-shell.test.mjs,rate-matrix;rules-tariffs;agreements,not_started,
rateware.html,rateware,authenticated,tenant,P2-S2,src/rateware.js,tests/platform55-operate-shell.test.mjs,approved-rates;reconciliation,implemented,docs/release/evidence/2026-08-21-p2-s2-operate.md
rfx-events.html,rfx-events,authenticated,tenant,P2-S3,src/rfx-events.js,tests/platform55-procurement-shell.test.mjs,rfx-projects;bid-rooms,not_started,
rfx-process.html,rfx-process,authenticated,tenant,P2-S3,src/rfx-process.js,tests/platform55-procurement-shell.test.mjs,awards;control-tower;shipments;dispatch;exceptions;tracking;scheduling;agreements,not_started,
settings.html,settings,authenticated,tenant,P2-S5,src/settings.js,tests/platform55-intelligence-admin-shell.test.mjs,platform-reliability;platform-trust;control-plane;api-platform;release-engineering;quality-engineering;data-platform;bcdr;saas-billing;compliance;enterprise-risk;privacy;legal-contracts;workflow-approvals;configuration-registry;runtime-jobs;architecture-rfc;enterprise-identity;secrets-overview;feature-flags;implementation;api-consumer;machine-identity;api-gateway;api-observability;regionalization;localization-governance;operator-console;readiness-certification;users-roles;legal-entities;integrations;tenant-settings;notification-rules,not_started,
shipper-crm.html,shipper-crm,authenticated,tenant,P2-S4,src/shippers.js,tests/platform55-network-service-shell.test.mjs,shippers;customer-success,not_started,
staging-review.html,staging-review,authenticated,tenant,P2-S2,src/staging-review.js,tests/platform55-operate-shell.test.mjs,review-queue,implemented,docs/release/evidence/2026-08-21-p2-s2-operate.md
upload-center.html,upload-center,authenticated,tenant,P2-S2,src/upload-center.js,tests/platform55-operate-shell.test.mjs,rate-intake;data-import,implemented,docs/release/evidence/2026-08-21-p2-s2-operate.md
upload-history.html,upload-history,authenticated,tenant,P2-S2,src/upload-history.js,tests/platform55-operate-shell.test.mjs,document-evidence;data-export,implemented,docs/release/evidence/2026-08-21-p2-s2-operate.md
vendor-improvement.html,vendor-improvement,authenticated,tenant,P2-S4,src/vendor-improvement.js,tests/platform55-network-service-shell.test.mjs,vendor-risk,not_started,
vendor-support.html,vendor-support,authenticated,tenant,P2-S4,src/vendor-support.js,tests/platform55-network-service-shell.test.mjs,service-management;customer-success,not_started,
vendors.html,vendors,authenticated,tenant,P2-S3,src/vendors.js,tests/platform55-procurement-shell.test.mjs,carriers;vendor-risk,not_started,
bid-room-board.html,bid-room-board,public,public,P2-S3,src/bid-room-board.js,tests/platform55-procurement-shell.test.mjs,bid-rooms,not_started,
carrier-profile.html,carrier-profile,public,public,P2-S3,src/carrier-profile.js,tests/platform55-procurement-shell.test.mjs,carriers;vendor-risk,not_started,
customer-rfi.html,customer-rfi,public,public,P2-S3,src/customer-rfi.js,tests/platform55-procurement-shell.test.mjs,rfx-projects;customer-progress,not_started,
index.html,index,public_entry,entry,P2-S5,src/landing.js,tests/platform55-intelligence-admin-shell.test.mjs,command;platform-trust,not_started,
ratebook-carrier.html,ratebook-carrier,public,public,P2-S3,src/ratebook-carrier.js,tests/platform55-procurement-shell.test.mjs,rate-matrix;approved-rates,not_started,
rfx-bid.html,rfx-bid,public,public,P2-S3,src/rfx-bid-chat-cache.js;src/rfx-bid.js,tests/platform55-procurement-shell.test.mjs,bid-rooms;awards,not_started,
shipper-profile.html,shipper-profile,public,public,P2-S4,src/shipper-profile.js,tests/platform55-network-service-shell.test.mjs,shippers;customer-success,not_started,
