domain,kind,rows,source_files,suggested_name
"transportes","needs_review","686","6","Transportes"
"larmont","needs_review","386","4","Larmont"
"yopmail.com","needs_review","254","2","Yopmail"
"ta","needs_review","227","5","Ta"
"cargo","needs_review","208","6","Cargo"
"jhoana","needs_review","181","3","Jhoana"
"azr","needs_review","146","3","Azr"
"gl","needs_review","128","5","Gl"
"los","needs_review","125","6","Los"
"texas","needs_review","114","5","Texas"
"zaro","needs_review","99","5","Zaro"
"servicios","needs_review","94","2","Servicios"
"edgar","needs_review","88","4","Edgar"
"er","needs_review","87","3","Er"
"roger","needs_review","87","2","Roger"
"tnl","needs_review","79","1","Tnl"
"jose","needs_review","79","4","Jose"
"carolina","needs_review","73","5","Carolina"
"tsm","needs_review","68","1","Tsm"
"oscar","needs_review","68","3","Oscar"
"best","needs_review","63","5","Best"
"dubai","needs_review","61","4","Dubai"
"db","needs_review","60","4","Db"
"rex","needs_review","59","2","Rex"
"auto","needs_review","57","6","Auto"
"usa","needs_review","49","5","Usa"
"world","needs_review","48","3","World"
"trega","needs_review","47","3","Trega"
"yolanda","needs_review","47","1","Yolanda"
"portmex","needs_review","46","2","Portmex"
"freightwell","needs_review","44","2","Freightwell"
"gabriel","needs_review","44","1","Gabriel"
"trans","needs_review","41","1","Trans"
"seven","needs_review","39","4","Seven"
"zeus","needs_review","37","3","Zeus"
"grupo","needs_review","36","3","Grupo"
"jojo","needs_review","36","4","Jojo"
"montes","needs_review","35","1","Montes"
"actifreight","needs_review","34","6","Actifreight"
"fletes","needs_review","34","4","Fletes"
"lar-tex","needs_review","33","2","Lar-Tex"
"xpress","needs_review","33","4","Xpress"
"raga","needs_review","31","4","Raga"
"juan","needs_review","31","3","Juan"
"grt","needs_review","30","3","Grt"
"logistica","needs_review","30","3","Logistica"
"fiquin","needs_review","29","2","Fiquin"
"p.a.m.","needs_review","29","4","P"
"morgan","needs_review","28","7","Morgan"
"arga","needs_review","27","1","Arga"
"enlaces","needs_review","27","3","Enlaces"
"south","needs_review","26","2","South"
"t","needs_review","26","1","T"
"fer","needs_review","25","4","Fer"
"datt","needs_review","25","3","Datt"
"q","needs_review","24","2","Q"
"accion","needs_review","24","2","Accion"
"emaus","needs_review","23","1","Emaus"
"daniel","needs_review","22","1","Daniel"
"i.t","needs_review","22","3","I"
"fj","needs_review","22","4","Fj"
"mav","needs_review","21","1","Mav"
"seco","needs_review","20","2","Seco"
"laredo","needs_review","20","2","Laredo"
"cs","needs_review","20","1","Cs"
"jpi","needs_review","19","4","Jpi"
"nh","needs_review","19","1","Nh"
"hector","needs_review","19","2","Hector"
"melissa","needs_review","19","1","Melissa"
"tsl","needs_review","19","1","Tsl"
"maria","needs_review","19","2","Maria"
"pg","needs_review","18","4","Pg"
"simconnect","needs_review","16","1","Simconnect"
"3t","needs_review","16","2","3t"
"mariana","needs_review","16","2","Mariana"
"ricardo","needs_review","15","1","Ricardo"
"jramos","needs_review","15","2","Jramos"
"freight","needs_review","15","5","Freight"
"karen","needs_review","15","1","Karen"
"lega","needs_review","15","1","Lega"
"ivan","needs_review","15","1","Ivan"
"jorge","needs_review","14","1","Jorge"
"javier","needs_review","14","3","Javier"
"2322819","needs_review","14","2","2322819"
"orange","needs_review","14","1","Orange"
"rogelio","needs_review","14","2","Rogelio"
"prolog","needs_review","13","1","Prolog"
"jesus","needs_review","13","1","Jesus"
"carmen","needs_review","12","2","Carmen"
"s","needs_review","12","2","S"
"m&g","needs_review","12","2","M&G"
"3c","needs_review","12","2","3c"
"goal","needs_review","12","4","Goal"
"dante","needs_review","12","2","Dante"
"martha","needs_review","12","1","Martha"
"itzel","needs_review","11","1","Itzel"
"transport","needs_review","11","1","Transport"
"lo","needs_review","11","2","Lo"
"alvaro","needs_review","11","2","Alvaro"
"gcs","needs_review","10","4","Gcs"
"rapidus","needs_review","10","3","Rapidus"
"alfaro","needs_review","10","1","Alfaro"
"cg","needs_review","9","2","Cg"
"twins","needs_review","8","1","Twins"
"c","needs_review","8","1","C"
"epy","needs_review","8","1","Epy"
"bowling","needs_review","8","3","Bowling"
"regio","needs_review","8","2","Regio"
"via","needs_review","8","1","Via"
"indiana","needs_review","8","3","Indiana"
"kc","needs_review","7","2","Kc"
"forza","needs_review","7","2","Forza"
"dylka","needs_review","7","2","Dylka"
"coast","needs_review","7","1","Coast"
"enkar","needs_review","7","3","Enkar"
"tro","needs_review","7","1","Tro"
"empire","needs_review","7","1","Empire"
"b","needs_review","7","1","B"
"enrique","needs_review","6","1","Enrique"
"luis","needs_review","6","1","Luis"
"gog","needs_review","6","2","Gog"
"d&d","needs_review","6","3","D&D"
"eccotrans","needs_review","6","2","Eccotrans"
"ac","needs_review","6","3","Ac"
"cano","needs_review","6","2","Cano"
"vynera","needs_review","5","1","Vynera"
"lorenza","needs_review","5","1","Lorenza"
"angeles","needs_review","5","1","Angeles"
"transpocarga","needs_review","5","1","Transpocarga"
"cam","needs_review","5","1","Cam"
"tzaddy","needs_review","5","1","Tzaddy"
"trucka","needs_review","5","2","Trucka"
"carrier","needs_review","5","3","Carrier"
